event_id,duration,num_scans,scans_per_second,min_distance,max_distance,mean_distance,std_distance,max_intrusion,mean_intrusion,intrusion_std,intrusion_ratio,temporal_variation,spatial_spread,label
flower_1_20260226032231065895,3.0680348873138428,46,14.993310600934656,0.248,0.358,0.27742391304347824,0.03425259232203136,0.10199999999999998,0.07257608695652171,0.03425259232203136,0.29142857142857137,0.03425248853754267,4,not_bee
flower_1_20260226032236065462,1.8672339916229248,28,14.99544252387111,0.298,0.357,0.31926785714285716,0.010157305224361896,0.05199999999999999,0.030732142857142833,0.010157305224361896,0.14857142857142855,0.009534277481274982,4,not_bee
flower_1_20260226032240531705,3.5339250564575195,53,14.997488388485609,0.282,0.36,0.30369811320754714,0.019118076511608354,0.068,0.04630188679245282,0.019118076511608354,0.1942857142857143,0.01862240937652638,4,not_bee
flower_1_20260226032244864945,2.0669491291046143,31,14.997950149566066,0.268,0.358,0.2985967741935484,0.028717270335563445,0.08199999999999996,0.05140322580645159,0.028717270335563445,0.23428571428571418,0.028837307824771792,4,not_bee
flower_1_20260226032251131699,2.800661087036133,42,14.996459298275006,0.266,0.356,0.28904761904761905,0.027544370198399174,0.08399999999999996,0.06095238095238092,0.027544370198399174,0.2399999999999999,0.027597346444507384,4,not_bee
flower_1_20260226032307464429,2.93381404876709,44,14.997542198862474,0.278,0.352,0.30308522727272724,0.020357339370206666,0.07199999999999995,0.04691477272727272,0.020357339370206666,0.2057142857142856,0.020125474368366997,4,not_bee
flower_1_20260226032313664551,2.5330560207366943,38,15.001642162240207,0.196,0.353,0.24043421052631578,0.0599472915342012,0.15399999999999997,0.1095657894736842,0.0599472915342012,0.43999999999999995,0.060482566290093555,4,not_bee
flower_1_20260226032319464625,3.1332812309265137,47,15.000249430563263,0.13,0.36,0.18062765957446808,0.08109352678526027,0.21999999999999997,0.1693723404255319,0.08109352678526027,0.6285714285714286,0.08167141336964014,4,not_bee
flower_1_20260226032324864253,2.5329489707946777,38,15.002276176167111,0.294,0.363,0.3129868421052632,0.01680428313506748,0.055999999999999994,0.037013157894736824,0.01680428313506748,0.16,0.01668942732249293,4,not_bee
flower_1_20260226032330597369,2.666808843612671,40,14.999200297315959,0.3,0.359,0.3157,0.014060873945122645,0.04999999999999999,0.03429999999999998,0.014060873945122645,0.14285714285714282,0.01379697105369183,4,not_bee
